question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Which of the following ministry has launched <q>Bhasha Certificate Selfie</q> campaign to encourage cultural diversity and promote multilingualism?,NA,A,Ministry of Education,Ministry of Culture,Ministry of External Affairs,Ministry of Finance,NA,NA,NA,NA,"<b>Ministry of Education launched a campaign <q>Bhasha Certificate Selfie</q> to encourage cultural diversity and promote multilingualism and foster the spirit of Ek Bharat Shreshtha Bharat.</b><br/>The initiative aims to promote the Bhasha Sangam mobile app, developed by the Ministry of Education and MyGov India.<br/><b>Bhasha Sangam mobile app was launched by the Minister of Education and Skill Development.</b>",NA
<q>Udey Desh ka Aam Nagrik</q> (UDAN) scheme for regional air connectivity will provide travel to tier 2 and tier 3 cities at the rate of Rs ________ per hour.,NA,C,1500,2000,2500,3000,NA,NA,NA,NA,"Under the UDAN Scheme people travelling to tier 2 and tier 3 cities will have to pay Rs 2500 per hour. The objective of UDAN is aimed at making air travel affordable and widespread, to boost inclusive national economic development and air transport infrastructure development of all regions and states of India.",NA
"The government will hand how many monuments to the private sector for their upkeep under the Monument Mitra Scheme, announced by the Ministry of Culture in January 2023?",NA,C,500,750,1000,1200,NA,NA,NA,NA,"The <b>Ministry of Tourism</b> has transferred the scheme to the <b>Ministry of Culture.</b><br/>The government has set the target to hand over 500 sites under the revamped <b>Monument Mitra Scheme</b> by the end of <b>Azadi ka Amrit Mahotsav</b> on <b>15 August 2023.</b><br/><b>Corporate entities</b> will take over these monuments as part of their <b>Corporate Social Responsibility.</b><br/>Under the scheme, <b>monument amenities will be revamped</b> by the private sector.<br/>The scheme will help India in <b>showcasing the best of its culture and tradition</b> to all the senior dignitaries and VVIPs coming to the country from all across the world.<br/>The government is also preparing a <b>digital museum, on a G20 Orchestra, on a book of poems, on exhibitions</b> to bring the 5000 years old Indian culture in front of G20 delegates.",NA
On which occasion PM Narendra Modi has announced a new PM-SHRI scheme?,NA,B,Children&#39;s Day,National Teacher&#39;s Day,National Education Day,Independence Day,NA,NA,NA,NA,"On the occasion of Teachers&#39; Day (5 September 2022), PM Modi announced a new initiative <b>Pradhan Mantri Schools For Rising India (PM-SHRI) Yojana.</b><br/>Under this scheme 14,500 schools across the country <b>are upgraded and developed.</b><br/>At least one PM Shri School will be established in every block of the country.<br/>The PM SHRI Schools will showcase all components of the <b>National Education Policy 2020.</b>",NA
Which state launched the Free Smartphone Yojana in December 2021?,NA,C,Rajasthan ,Punjab ,Uttar Pradesh,Haryana ,NA,NA,NA,NA,"The <b>UP government</b> launched the <b><q>Free Smartphone Yojana on December 25, 2021.</q></b><br/>Under the scheme the state government will distribute smartphones and tablets to final year students of graduation and above.<br/>
In <b>phase I</b> of the scheme around <b>one lakh smartphones and tablets</b> will be given to final year students of <b>B.Tech, B.A, B.Sc, MA, ITI, MBBS, MD, M.Tech, Ph.D. in Lucknow.</b>",NA
The Chief Minister of which state launched the <q>Duare Ration</q> (ration at doorstep) scheme in November 2021?,NA,D,Odisha,Assam,Tamil Nadu,West Bengal,NA,NA,NA,NA,"<b>West Bengal CM Mamata Banerjee</b> launched the <b><q>Duare Ration</q> (ration at doorstep) scheme</b> on 16 November 2021.<br/>It will benefit around <b>10 crore people of the state.</b><br/>She also inaugurated a <b>WhatsApp chatbot for the Food and Supplies Department</b> of the state government and a mobile application, <b><q>Khadya Sathi: Amar Ration Mobile App</q></b> to help people apply for ration cards.",NA
"What is the name of India&#39;s first fashion forecasting initiative launched by Union Minister of Textiles, Shri Giriraj Singh, in 2024?",NA,C,FashionNxt,StyleVision,VisioNxt,ParidhiNxt,NA,NA,NA,NA,"<b>VisioNxt is India&#39;s first fashion trend forecasting initiative launched by NIFT with support from the Ministry of Textiles.</b><br/>The initiative uses a combination of Artificial Intelligence (AI) and Emotional Intelligence (EI) to provide trend insights.<br/><b>It aims to reduce India&#39;s dependence on global trend forecasting agencies by offering India-specific fashion trends.</b><br/>VisioNxt&#39;s AI-based model, DeepVision, helps predict fashion trends by analyzing apparel attributes like style, color, and patterns.",NA
"Which initiative, recently launched by Prime Minister Narendra Modi, aims to construct approximately 24,800 rainwater harvesting structures across Gujarat?",NA,C,Jal Jivan Mission,Atal Bhujal Yojana,Jal Sanchay Jan Bhagidari,Swachh Bharat Mission,NA,NA,NA,NA,"The Prime Minister highlighted the <b>importance of public participation in water conservation efforts</b> to ensure a sustainable future for upcoming generations.<br/>He noted that water conservation reflects our values and will be a key measure of our legacy for future generations.<br/>Modi referenced previous government initiatives such as the <b>Jal Jivan Mission and Atal Bhujal Yojana,</b> and stressed the need for adopting innovative technologies to address water scarcity.<br/><b>The initiative aims to build around 24,800 rainwater harvesting structures across Gujarat to improve water conservation.</b><br/>Union Minister of Jal Shakti CR Patil and Gujarat Chief Minister Bhupendra Patel were present at the launch event.",NA
<b>Which of the following were the main features of the economic relief package announced by the Finance Minister in March 2020?</b><br/><br/>A. Insurance cover of Rs 30 lakh per person for doctors and medical workers fighting COVID-19.<br/>B. Increase in MGNREGA wage to Rs 202 a day from Rs 182 for 13.62 crore families.<br/><br/>Select the correct answer,NA,B,Only 1,Only 2,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,<b>Explanation:</b> Some of the main features of the economic relief package announced by the Finance Minister in March 2020 are insurance cover of Rs 30 lakh per person for doctors and medical workers fighting COVID-19 and an increase in MGNREGA wage to Rs 202 a day from Rs 182 for 13.62 crore families.,NA
<b>Which of the following are the benefits of the Pradhan Mantri Garib Kalyan Package?,NA,D,An insurance cover of Rs 50 Lakh,Free LPG Cylinders to the BPL families for one month,Free Pulses for the next three months under PM Garib Kalyan Ann Yojana,Both A and C are correct,NA,NA,NA,NA,"<b>Explanation:</b> Under <b><u>Pradhan Mantri Garib Kalyan Yojana (PMGKY),</u></b> any health worker in government hospitals and healthcare centres who is working in the treatment of COVID-19 patients would be provided with an insurance cover of Rs 50 Lakh if met with some accident. To the BPL families, for the next three months, free LPG cylinders will be provided under the Ujjwala Yojana. And under Pradhan Mantri Garib Kalyan Ann Yojana, 5 kg wheat or rice and 1 kg of preferred pulses will be provided for the next three months.",NA
