question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
Who issues metallic coins in India?,NA,Government of India,RBI,Government of India,Banks and financial institutions,Any of the above can issue it.,NA,NA,NA,NA,"The Government of India issues metallic coins in India. Coins, paper currency and deposits are the components of money supply in India.",NA
Which of the following is issued by RBI?,NA,Currency notes,Currency notes,Coins,Both,None,NA,NA,NA,NA,Currency notes are issued by RBI. The Government of India issues metallic coins in India.,NA
"Consider the following statements:<br/><br/>1. Money supply is a flow variable and is measured for a certain period.<br/><br/>2. Interbank deposits, which one commercial bank deposits in another bank, are not included in the money supply.<br/><br/>3. M1 and M2 are called broad money and re-least liquid of all.<br/><br/>Which of the above statements is/are correct?",NA,2 only,1 and 2 only,2 and 3 only,2 only,"1, 2 and 3",NA,NA,NA,NA,"Money supply, like money demand, is a stock variable. Hence, statement 1 is incorrect.<br/><br/>The total stock of money in circulation among the public at a particular point of time is called money supply. RBI publishes figures for four alternative measures of money supply, viz. M1, M2, M3, and M4. <br/>The interbank deposits, which a commercial bank holds in other commercial banks, are not to be regarded as part of the money supply. Hence, statement 2 is correct.<br/>M1 and M2 are known as narrow money. M3 and M4 are known as broad money. Hence, statement 3 is incorrect.<br/>These gradations are in decreasing order of liquidity. M1 is the most liquid and easiest for transactions whereas M4 is the least liquid of all. M3 is the most commonly used measure of the money supply.<br/><br/>Additional Information<br/>The measures of money supply in India are classified into four categories M1, M2, M3, and M4 along with M0.<br/>This classification was introduced in April 1977 by the Reserve Bank of India. <br/><br/>Reserve Money (M0): It is also known as High-Powered Money, monetary base, base money etc.<br/>M0 = Currency in Circulation + Bankers’ Deposits with RBI + Other deposits with RBI.<br/>It is the monetary base of the economy.<br/>Narrow Money (M1):<br/>M1 = Currency with public + Demand deposits with the Banking system (current account, saving account) + Other deposits with RBI<br/>M2 = M1 + Savings deposits of post office savings banks<br/>Broad Money (M3)<br/>M3 = M1 + Time deposits with the banking system<br/>M4 = M3 + All deposits with post office savings banks",NA
Which of the following about money supply measure adopted in 1977 is correct?,NA,All the above,M2= M1 +demand deposits with post offices,M3= M1 +term deposits with banks,M4= M3+total deposits with post offices,All the above,NA,NA,NA,NA,These are the measures of money supply adopted by RBI in 1977.,NA
Which of the following is most liquid measure of money supply in India?,NA,M1,M1,M2,M3,M4,NA,NA,NA,NA,M1= cash with the public + demand deposits with banks + other deposits with RBI,NA
Which of the following is known as broad money?,NA,M3,M1,M2,M3,M4,NA,NA,NA,NA,M3 is known as broad money as more items are included in this measure when compared to M1 which is known as narrow money.,NA
Which of the following about money supply measures adopted in 1998 is wrong?,NA,None of the above,M1= currency with public +demand deposits with banking system + other deposits with RBI,M2= M1 + savings deposits of post office savings bank,M3= M1+ time deposits with banking system,None of the above,NA,NA,NA,NA,M4= M3+ all deposits with post office savings banks excluding National Savings Certificate.,NA
Consider the following statements and identify the right ones.<br/>i. Data on Mo are published on monthly basis<br/>ii. Data on M1 and M3 are available on weekly basis,NA,None,I only,II only,Both,None,NA,NA,NA,NA,Data on Mo are published by the RBI on weekly basis and Data on M1 and M3 are available on fortnightly basis.,NA
Consider the following statements and identify the right ones.<br/>i. Data on liquidity aggregates L1 and L2 are published weekly<br/>ii. Data on L3 are published once in a quarter.,NA,II only,I only,II only,Both,None,NA,NA,NA,NA,Data on liquidity aggregates L1 and L2 are published on a monthly basis.,NA
Which of the following banks was not nationalized in 1969?,NA,Vijaya Bank,Vijaya Bank,Canara Bank,Bank of India,Central Bank of India,NA,NA,NA,NA,"Vijaya Bank was nationalized in 1980 with 5 other banks. In 1969, 14 banks were nationalized.",NA
Which of the following banks were nationalized in 1980?,NA,All the above,Andhra Bank,Vijaya Bank,Corporation Bank,All the above,NA,NA,NA,NA,"The other 3 banks are Punjab and Sind Bank, New bank of India and Oriental Bank of Commerce.",NA
"Consider the following statements and identify the right ones.<br/>i. Post nationalization, banks were supposed to open more branches in rural and semi-urban areas.<br/>ii. Banks had to provide credit facilities to areas that come under priority sector.",NA,Both,I only,II only,Both,None,NA,NA,NA,NA,"Post nationalization, banks were supposed to open more branches in rural and semi-urban areas in order to collect savings from these areas.",NA
"Consider the following statements and identify the right ones.<br/>i. The lead bank scheme owes its origin to Narsiman Committee.<br/>ii. Under this scheme, SBI and its subsidiaries only were given the responsibility of development of districts.",NA,I only,I only,II only,Both,None,NA,NA,NA,NA,"Under this scheme, SBI and its subsidiaries, 14 nationalised banks as well as 3 private banks were given the responsibility of development of districts.",NA
Regional Rural Banks work at,NA,District level,Hobli level,Taluk level,District level,All levels,NA,NA,NA,NA,"The SBI and its subsidiaries, 14 nationalised banks as well as 3 private banks were given the responsibility of development of districts",NA
Which of the following is a subsidiary of SBI?,NA,All the above,State Bank of Hyderabad,State Bank of Mysore,State Bank of Patiala,All the above,NA,NA,NA,NA,SBI has 5 subsidiaries now. The other 2 are State Bank of Bikaner and Jaipur and State Bank of Travancore,NA
"In 2001, RBI issued a set of guidelines for private sector. Which of the following is true?",NA,All the above ,Initial paid-up capital should be 200 crore rupees,Share of the promoters in paid-uo should not be less than 40%,Big corporate houses are not allowed to promote any bank,All the above ,NA,NA,NA,NA,The paid up capital should be increased to 300 crore rupees in 3 years of operation,NA
"In 2001, RBI issued a set of guidelines for private sector. Accordingly which bank was issued licence?",NA,YES Bank Limited,HDFC Bank Limited,YES Bank Limited,ICICI Bank Limited,All the above,NA,NA,NA,NA,"In 2001, RBI issued a set of guidelines for private sector. Accordingly only 2 banks were given licence then- YES Bank and Kotak Mahindra Bank.",NA
Which of the following is a reason for inflation?,NA,All the above,Deficit financing,Growth in per capita income,Structural deficiencies,All the above,NA,NA,NA,NA,Inflation refers to rise in the general price level in the economy. Various demand and supply side factors cause inflation.,NA
Which of the following is an effect of inflation?,NA,All the above,Erosion in purchasing power,Affects relative price of goods,Increase in inequalities of income,All the above,NA,NA,NA,NA,"As a result of inflation, some sections like producers or big landlords gain due to the ownership of assets, income inequality increases.",NA
The base year used for WPI is,NA,2011-12,1993-94,2001-02,2011-12,None of the above,NA,NA,NA,NA,"WPI data is published by the Office of Economic Adviser, Ministry of Commerce and Industry, while CPI data is published by the National Statistical Office (NSO), Ministry of Statistics and Programme Implementation (MoSPI). The base year for WPI is 2011-12 while the base year for CPI is 2012.",NA
Which group constitutes maximum weightage in WPI?,NA,Manufactured items,Primary articles,Fuel,Manufactured items,Equal weightage,NA,NA,NA,NA,"Primary articles constitute 20.12 weightage, fuel has weightage of 14.91 while manufactured items have 64.97 weightage.",NA
The base year to calculate CPI-IW is,NA,2016,2001,1994,1991,2016,NA,NA,NA,NA,The labour ministry has recently revised the base year for CPI-IW to 2016 from 2001.,NA
